frame,track_id,mu_CV,mu_CA,dominant,nu_CV_norm,nu_CA_norm,L_CV,L_CA,ax,ay,P_trace
2,24,0.6362,0.3638,CV,52.0069,52.0069,-20.413171911820058,-20.37483591475903,-4.41438,-1.62294,200.6663
3,24,0.5545,0.4455,CV,52.2393,51.9659,-21.16305328108627,-20.881121637844327,-12.15858,-2.14362,323.4732
4,24,0.4879,0.5121,CA,46.7072,45.6614,-20.25217019771887,-19.82280086730035,-20.35733,-0.24295,502.9563
5,24,0.4854,0.5146,CA,37.6055,36.0241,-23.649271236578663,-23.306052438825276,-26.67707,2.95373,696.8036
6,24,0.513,0.487,CV,29.1612,27.3086,-27.24712475738182,-27.017756212212134,-29.08915,4.91721,878.6463
7,24,0.5362,0.4638,CV,27.5199,25.6741,-28.54876687867682,-28.37289606939357,-28.98218,6.61769,1039.2186
8,24,0.5447,0.4553,CV,29.9698,27.9986,-25.307037405098637,-25.131829595746176,-28.20636,6.88433,1199.7169
8,25,0.7,0.3,CV,24.5708,24.5708,-13.159740048477582,-13.159740048477582,0.0,0.0,101.1128
9,24,0.562,0.438,CV,27.1919,25.1996,-21.63052358252596,-21.513311459329735,-25.27889,6.12835,1359.5509
9,25,0.6419,0.3581,CV,21.5369,21.5369,-14.96219231419057,-14.948502848418963,-3.32388,-2.94957,140.0327
10,24,0.6002,0.3998,CV,30.8663,30.8439,-19.911780624506036,-19.926420194197803,-17.79147,5.75071,1423.5558
10,25,0.6141,0.3859,CV,15.4704,15.2946,-12.690606573667957,-12.645919575682388,-5.4917,-6.11635,211.7744
11,24,0.5985,0.4015,CV,46.6173,46.1667,-23.276711444433204,-23.22818007140733,-16.0065,5.9617,1439.9192
11,25,0.621,0.379,CV,5.4591,5.0267,-12.074626227012349,-12.10029795847726,-5.17154,-5.4379,270.475
12,24,0.5944,0.4056,CV,50.163,49.6766,-21.806394364164902,-21.74355094347004,-14.61984,6.18251,1435.1777
12,25,0.6286,0.3714,CV,2.89,2.4806,-11.835855516188175,-11.883626963030228,-3.31535,-3.91502,306.5453
13,24,0.5946,0.4054,CV,41.4157,40.8485,-18.504142022730257,-18.448239095760954,-13.10767,5.95074,1424.5081
13,25,0.6317,0.3683,CV,1.3622,1.2209,-10.62929030096912,-10.679254868798385,-1.74286,-2.37474,321.6346
14,24,0.5934,0.4066,CV,43.8538,43.3157,-16.739128329725723,-16.677835741766682,-12.1192,5.77804,1399.0785
14,25,0.629,0.371,CV,6.6287,6.6498,-11.326706126813406,-11.360529555560698,-1.62491,-0.20374,324.3346
15,24,0.5944,0.4056,CV,40.1212,39.5975,-16.385855168539134,-16.33020053618392,-10.82241,5.53535,1364.8288
15,25,0.5647,0.4353,CV,61.0773,60.9582,-23.610296975990817,-23.380216099603373,-2.58866,-1.73225,370.317
16,24,0.5977,0.4023,CV,32.2002,31.6559,-14.89488890721038,-14.851734882083266,-9.55406,4.91265,1333.5251
16,25,0.5887,0.4113,CV,39.7778,39.772,-44.472535552535646,-44.435417214292436,-4.89772,-0.77435,371.2005
17,24,0.5767,0.4233,CV,69.1547,68.7909,-30.349531772007428,-30.21486719830895,-8.91333,5.87294,1226.7608
17,25,0.6127,0.3873,CV,50.9142,51.2531,-25.706469952640994,-25.73451945025848,0.897,2.215,338.3506
18,24,0.5842,0.4158,CV,31.903,31.3501,-12.478551626223478,-12.405238954642906,-9.96097,3.74967,1175.4835
18,25,0.6067,0.3933,CV,46.946,47.0739,-20.534421703306215,-20.501642216840505,1.64341,-3.22577,346.2171
19,24,0.6024,0.3976,CV,23.2061,23.0385,-12.234750217700107,-12.22635546711256,-5.07388,2.7534,1106.6133
19,25,0.6108,0.3892,CV,17.3164,17.2695,-14.129259332849273,-14.1230224314539,-0.07828,-2.6956,357.0026
20,24,0.6018,0.3982,CV,25.8307,25.485,-12.242719680598038,-12.20474036867993,-3.10902,1.88409,1015.3789
20,25,0.6128,0.3872,CV,22.2633,22.2565,-21.134152520180205,-21.13005817961674,-1.57116,-1.29142,364.3599
21,24,0.6024,0.3976,CV,21.0367,20.6779,-11.13205749355157,-11.097761459668272,-2.71561,0.25993,924.2946
21,25,0.6126,0.3874,CV,17.3822,17.2938,-26.10561088220524,-26.09770289241374,-2.0907,-0.84651,366.0392
22,24,0.611,0.389,CV,16.5367,16.4358,-10.03676747774941,-10.037302409775466,-0.98468,-1.77036,844.4777
22,25,0.6138,0.3862,CV,19.0584,19.0321,-37.071730908016676,-37.0691371038662,-1.89087,-0.8259,354.7938
23,24,0.6095,0.3905,CV,25.6713,25.5914,-12.639775745767775,-12.621389371527927,0.99916,-3.84408,771.4251
23,25,0.6145,0.3855,CV,11.6507,11.5707,-31.596842324233393,-31.595506337219206,-1.5898,-0.59849,348.3581
24,24,0.574,0.426,CV,59.7111,59.5606,-20.5857183042755,-20.422805548999108,6.31875,-5.94639,712.7091
24,25,0.6163,0.3837,CV,5.3997,5.2971,-19.616794299167445,-19.62181417590127,-1.33088,-0.4512,349.1228
25,24,0.56,0.44,CV,42.9695,42.515,-14.901261356565552,-14.733309860821354,7.52087,-7.29537,674.0168
25,25,0.6176,0.3824,CV,3.895,3.8319,-14.293922190242906,-14.301873001178864,-1.01322,-0.14701,349.7527
26,24,0.5616,0.4384,CV,35.4082,34.8718,-16.619819796841245,-16.478714963364837,7.55202,-8.17661,646.2513
26,25,0.6176,0.3824,CV,6.5422,6.4864,-10.364083604938651,-10.370008314784888,-1.04139,0.03555,350.1614
27,24,0.5589,0.4411,CV,41.5428,41.0292,-17.282769964514863,-17.128235435777192,8.47017,-8.26733,645.4338
27,25,0.6179,0.3821,CV,4.8826,4.8453,-9.579137657237457,-9.586761774482392,-0.73139,0.22254,348.8612
28,24,0.5512,0.4488,CV,49.3757,48.7867,-17.910384271138852,-17.728644822383018,9.91898,-8.44912,663.2656
28,25,0.6186,0.3814,CV,4.0023,4.0316,-9.082996713139543,-9.092744946499602,-0.24144,0.30125,351.9416
29,24,0.5721,0.4279,CV,30.4205,29.7787,-13.75112934919379,-13.665549389095371,8.62778,-7.65472,689.5263
29,25,0.6184,0.3816,CV,4.5423,4.5299,-8.959464372456118,-8.967603162538438,-0.03623,0.44882,354.4713
30,24,0.5894,0.4106,CV,21.6106,21.0165,-13.604923745164811,-13.560146705041637,6.87758,-6.6951,710.9029
30,25,0.6184,0.3816,CV,4.2425,4.2333,-8.941140921831517,-8.94923306658452,0.22237,0.38489,357.7494
31,24,0.6008,0.3992,CV,19.4388,19.0141,-18.70463305067058,-18.681732069734657,5.00971,-5.43391,740.7462
31,25,0.6177,0.3823,CV,11.395,11.3852,-9.372109529804288,-9.377415695023085,-0.28252,0.70601,356.3889
32,24,0.5999,0.4001,CV,36.055,35.762,-14.502812225375788,-14.459164868778998,5.05127,-5.9312,738.6132
32,25,0.6154,0.3846,CV,18.1849,18.1462,-10.601039359401758,-10.59785146649326,-0.80587,1.42932,361.2696
33,24,0.6035,0.3965,CV,22.1385,21.7501,-11.315870774333652,-11.288921009907277,4.86805,-4.85127,760.6155
33,25,0.6149,0.3851,CV,12.9063,12.8205,-11.878326527341768,-11.876213309351137,-1.09928,1.43651,365.7545
34,24,0.6079,0.3921,CV,20.4702,20.1665,-10.719163117879251,-10.705228851636717,4.09532,-3.67603,800.1444
34,25,0.6134,0.3866,CV,23.51,23.4638,-12.361122905777135,-12.353384193731515,-1.02136,1.5889,389.2723
35,24,0.6137,0.3863,CV,11.1835,11.0299,-13.173634696017311,-13.177517933227968,2.58291,-2.9767,814.1888
35,25,0.6142,0.3858,CV,15.0348,14.9556,-16.53362064390926,-16.531694191073523,-0.75555,1.79071,396.105
36,24,0.6141,0.3859,CV,23.3876,23.283,-17.407077382187644,-17.40411251386903,2.35687,-2.74478,804.8734
36,25,0.6142,0.3858,CV,13.9955,13.8938,-17.893276013827318,-17.890092419744697,-0.65217,1.90548,402.4338
37,24,0.6088,0.3912,CV,36.9638,36.813,-20.70293286557547,-20.677212291182194,3.58132,-2.74082,785.3235
37,25,0.6149,0.3851,CV,15.4316,15.3701,-13.458243529313009,-13.457791596360147,-0.83497,1.48494,426.0962
