track_id,n_frames,mean_mu_CV,mean_mu_CA,mu_flips,cv_dominant,needs_CT
1,46,0.604,0.396,6,True,False
2,93,0.609,0.391,6,True,False
3,31,0.603,0.397,2,True,False
4,176,0.598,0.402,6,False,False
5,4,0.651,0.349,0,True,False
7,10,0.556,0.444,2,False,False
8,242,0.613,0.387,0,True,False
10,145,0.603,0.397,6,True,False
11,32,0.606,0.394,0,True,False
12,13,0.607,0.393,0,True,False
15,67,0.606,0.394,2,True,False
16,200,0.615,0.385,6,True,False
17,13,0.597,0.403,2,False,False
19,13,0.623,0.377,2,True,False
20,12,0.606,0.394,0,True,False
21,2,0.672,0.328,0,True,False
22,96,0.601,0.399,3,True,False
23,6,0.654,0.346,0,True,False
27,58,0.595,0.405,4,False,False
28,89,0.612,0.388,2,True,False
30,58,0.566,0.434,7,False,False
32,4,0.546,0.454,1,False,False
33,3,0.662,0.338,0,True,False
