frame,track_id,mu_CV,mu_CA,dominant,nu_CV_norm,nu_CA_norm,L_CV,L_CA,ax,ay,P_trace
2,40,0.6451,0.3549,CV,13.8385,13.8385,-9.13406835294783,-9.134589115586486,-3.29807,-0.40717,115.8498
2,41,0.6424,0.3576,CV,17.5501,17.5501,-13.576424261644142,-13.565006117071974,-3.40068,-0.37996,65.2972
2,42,0.6466,0.3534,CV,1.1693,1.1693,-7.24565566840823,-7.25276942959801,-0.16118,0.16117,82.7192
3,40,0.5723,0.4277,CV,18.8177,18.7313,-12.107041794821885,-11.884230448935622,-18.26296,-1.92651,174.3821
3,41,0.5156,0.4844,CV,25.8876,25.7839,-22.15715230921992,-21.709390128490316,-16.14631,-0.43511,106.1437
3,42,0.641,0.359,CV,1.3684,1.3622,-6.401528442001802,-6.464927698084034,-0.73731,1.01824,114.8457
4,40,0.3714,0.6286,CA,21.4639,20.6793,-14.222619966796882,-13.289696787029605,-36.43501,-3.80903,269.2117
4,41,0.113,0.887,CA,39.2963,38.5603,-33.08000962525911,-30.695336409755058,-44.81623,-2.89977,204.7974
4,42,0.6483,0.3517,CV,1.6343,1.6166,-6.6726000181411065,-6.776084766397374,-1.17606,0.82312,135.1566
5,40,0.2989,0.7011,CA,18.6237,16.8772,-11.68178641431515,-10.709287998261056,-57.45049,-5.34441,361.6316
5,41,0.1314,0.8686,CA,36.0578,34.6844,-29.977545637109394,-28.331618426482446,-87.82304,-10.11387,285.817
5,42,0.6482,0.3518,CV,1.9038,1.833,-7.120008959261848,-7.212379259304791,-1.19719,0.44641,138.7451
6,40,0.4111,0.5889,CA,11.0039,9.1172,-11.176860139706514,-10.79896439709996,-64.33723,-5.33726,402.2581
6,41,0.2331,0.7669,CA,15.7149,13.4774,-11.341598346338017,-10.36777367303377,-108.82623,-13.03198,345.7702
6,42,0.6438,0.3562,CV,1.2296,1.1769,-6.78064639811961,-6.853496302591259,-0.67221,-0.11408,132.6115
7,40,0.5909,0.4091,CV,1.4524,3.4769,-7.775911042456405,-7.967746162809382,-42.12322,-3.23902,390.9965
