frame,track_id,mu_CV,mu_CA,dominant,nu_CV_norm,nu_CA_norm,L_CV,L_CA,ax,ay,P_trace
2,70,0.6459,0.3541,CV,8.8524,8.8524,-8.240530197291339,-8.244619950071828,-2.12074,0.09024,101.1851
2,71,0.6466,0.3534,CV,0.7501,0.7501,-4.365462701887712,-4.372560461010366,0.0,0.0,11.9416
2,72,0.6465,0.3535,CV,1.7695,1.7695,-4.888785686786103,-4.895246582763028,0.22929,0.0,14.3748
2,73,0.6466,0.3534,CV,0.5316,0.5316,-4.2133902324696795,-4.220490538994119,0.08989,-0.08989,10.4995
2,74,0.6464,0.3536,CV,1.5468,1.5468,-3.865069934610431,-3.8710189564823594,0.0,-0.09253,6.716
2,75,0.6459,0.3541,CV,2.519,2.519,-5.179523819172621,-5.183375176301727,-0.45583,-0.36467,7.4885
3,70,0.6183,0.3817,CV,10.3416,10.2867,-8.285683942246338,-8.252742847014863,-10.05636,0.42106,144.7621
3,71,0.6416,0.3584,CV,0.8587,0.854,-3.384209261070799,-3.449897504767138,-0.0,0.0,16.4718
3,72,0.6396,0.3604,CV,1.6207,1.6247,-3.8563141820751423,-3.9135320893674397,1.00447,0.0,20.3384
3,73,0.6411,0.3589,CV,0.6952,0.6974,-3.127001111363352,-3.190662545663779,-0.53938,-0.09749,14.5842
3,74,0.6399,0.3601,CV,1.0151,1.0061,-2.5314071924759625,-2.590245562097643,-0.38589,-0.09947,9.2777
4,70,0.5744,0.4256,CV,10.9314,10.524,-8.52239367453883,-8.347959925644595,-15.89088,0.04021,187.2353
4,71,0.6518,0.3482,CV,0.6516,0.6809,-3.1598560077849656,-3.2779180743291354,-0.0,-0.35591,19.3449
4,72,0.6171,0.3829,CV,3.5396,3.5029,-6.01722543847778,-5.988736815897907,3.7573,-0.0,24.6066
4,73,0.6466,0.3534,CV,1.3514,1.3713,-3.3945722649211008,-3.4904674337454322,0.84757,-0.39042,17.26
4,74,0.6493,0.3507,CV,0.7914,0.7748,-2.2273960707297222,-2.3368906880517426,-0.30889,-0.87704,10.7039
5,70,0.5409,0.4591,CV,10.4972,9.6953,-8.316236708064437,-8.070520012758255,-19.15925,-0.28999,218.1132
5,71,0.6482,0.3518,CV,1.5254,1.5315,-4.1867213468119315,-4.2738617518346675,-0.5326,0.00867,19.4729
5,72,0.5976,0.4024,CV,3.0292,2.8601,-5.633129908597593,-5.556018210229187,4.19833,-0.0,27.0369
