frame,track_id,mu_CV,mu_CA,dominant,nu_CV_norm,nu_CA_norm,L_CV,L_CA,ax,ay,P_trace
2,137,0.6445,0.3555,CV,43.9944,43.9944,-12.829114805276976,-12.827116861790653,9.7816,-0.31554,852.739
2,138,0.6466,0.3534,CV,18.7677,18.7677,-14.35296516009728,-14.36000132514699,-0.92767,-4.19467,9400.1902
2,139,0.6461,0.3539,CV,19.7083,19.7083,-11.94988618321385,-11.954699432603942,-0.16542,-1.51793,718.9023
2,140,0.6466,0.3534,CV,5.6981,5.6981,-12.604759550749726,-12.611937197293832,-0.89244,-0.81131,2567.9443
2,141,0.6466,0.3534,CV,6.189,6.189,-11.49970362520454,-11.506688178317617,0.32768,0.65535,496.7861
3,137,0.6168,0.3832,CV,30.8017,30.5558,-12.043085924563727,-12.005814924038997,29.00314,1.71691,1206.88
3,138,0.6404,0.3596,CV,21.0878,21.0142,-14.384028152728579,-14.44459960241396,2.87924,-10.06386,13148.1325
3,139,0.6393,0.3607,CV,3.2168,3.2531,-9.915785340721689,-9.972483234676986,1.24682,-2.32041,988.7709
3,140,0.6408,0.3592,CV,14.9392,14.9236,-12.572199960010504,-12.634419020789164,0.21813,-0.4415,3532.2861
3,141,0.6419,0.3581,CV,4.2689,4.2556,-9.806570685101665,-9.873759041724492,2.7841,3.13474,692.0597
4,137,0.5562,0.4438,CV,37.074,35.8945,-13.189704176404565,-12.94344880387135,50.59123,1.14512,1574.9551
4,138,0.6416,0.3584,CV,39.4048,38.7811,-15.721834380895832,-15.797128265281462,3.84246,-3.79849,15930.9838
4,139,0.6437,0.3563,CV,10.2882,10.3794,-10.641348761799627,-10.727400599472158,-5.69054,1.26832,1177.232
4,140,0.0465,0.9535,CA,187.0549,186.61,-54.826454898443274,-51.29873930657672,-59.681,111.87192,5811.4902
4,141,0.648,0.352,CV,7.3031,7.3236,-18.061482101458154,-18.162444366205825,-3.96147,5.55226,814.2815
5,137,0.4122,0.5878,CA,50.6079,48.0717,-17.16786638562633,-16.42970904234103,83.18262,2.42348,1977.7299
5,138,0.6428,0.3572,CV,41.1328,41.2943,-14.287130129724174,-14.36575496019809,-21.99205,-5.611,16824.5289
5,139,0.6434,0.3566,CV,6.9303,6.6153,-11.094823618372848,-11.172932620534521,-7.24016,1.2248,1237.8447
5,140,0.5429,0.4571,CV,16.2976,22.3058,-18.67651427716263,-19.186516920844014,-36.82996,80.51092,4634.3535
5,141,0.6442,0.3558,CV,8.2939,8.0854,-24.986869773098263,-25.06176319907586,-5.93489,4.44727,849.0523
6,137,0.317,0.683,CA,52.0822,47.9484,-34.43527772600085,-33.49009096312639,128.52731,4.77133,2333.6829
6,138,0.6405,0.3595,CV,11.1411,10.7687,-14.057433809088428,-14.124049205425438,-15.97924,-3.12606,16535.0232
6,139,0.6413,0.3587,CV,7.0508,7.2089,-12.00089401301565,-12.070088356374217,-3.94542,0.38473,1223.9239
6,140,0.6888,0.3112,CV,24.3832,28.841,-20.082062447024043,-20.512707442128377,10.41482,22.13658,2997.512
6,141,0.6343,0.3657,CV,19.3738,19.558,-21.82826958754433,-21.86605874277777,4.34145,3.72252,835.4721
7,137,0.5423,0.4577,CV,12.3207,13.687,-30.555337207890133,-30.68122287800916,96.11469,0.32077,2284.9204
7,138,0.6359,0.3641,CV,9.8071,10.7505,-14.428546143323086,-14.478690710275137,-6.58597,-2.12367,15704.8458
7,139,0.6352,0.3648,CV,5.9944,6.0593,-11.797029532475856,-11.84331394759987,-1.27819,-0.49777,1167.7874
7,140,0.6287,0.3713,CV,34.0461,35.0544,-18.883021653602697,-18.829726251531948,14.52909,-17.3699,2125.6499
