track_id,n_frames,mean_mu_CV,mean_mu_CA,mu_flips,cv_dominant,needs_CT
26,93,0.592,0.408,8,False,False
27,24,0.605,0.395,2,True,False
28,101,0.568,0.432,16,False,False
29,70,0.545,0.455,6,False,False
31,3,0.577,0.423,2,False,True
30,9,0.625,0.375,0,True,False
32,114,0.599,0.401,4,False,False
33,53,0.594,0.406,4,False,False
34,13,0.605,0.395,2,True,False
35,37,0.618,0.382,2,True,False
36,30,0.626,0.374,0,True,False
37,12,0.486,0.514,4,False,True
41,12,0.496,0.504,2,False,False
42,26,0.588,0.412,2,False,False
44,19,0.577,0.423,2,False,False
47,23,0.52,0.48,6,False,False
48,2,0.674,0.326,0,True,False
53,87,0.548,0.452,12,False,False
56,10,0.468,0.532,3,False,False
57,45,0.599,0.401,6,False,False
58,83,0.606,0.394,0,True,False
61,21,0.535,0.465,4,False,False
63,7,0.566,0.434,5,False,True
65,60,0.608,0.392,2,True,False
67,64,0.578,0.422,6,False,False
68,59,0.555,0.445,6,False,False
69,57,0.591,0.409,8,False,False
70,18,0.44,0.56,7,False,True
71,41,0.608,0.392,0,True,False
73,4,0.619,0.381,0,True,False
74,30,0.553,0.447,6,False,False
76,23,0.563,0.437,4,False,False
77,4,0.633,0.367,0,True,False
78,26,0.521,0.479,5,False,False
79,21,0.538,0.462,2,False,False
83,7,0.577,0.423,2,False,False
84,1,0.7,0.3,0,True,False
86,9,0.604,0.396,0,True,False
88,7,0.484,0.516,2,False,False
