track_id,n_frames,mean_mu_CV,mean_mu_CA,mu_flips,cv_dominant,needs_CT
1,71,0.616,0.384,4,True,False
-1,1,0.7,0.3,0,True,False
2,66,0.587,0.413,6,False,False
-3,1,0.7,0.3,0,True,False
-4,1,0.7,0.3,0,True,False
4,15,0.554,0.446,3,False,False
-5,1,0.7,0.3,0,True,False
5,65,0.598,0.402,0,False,False
-6,1,0.7,0.3,0,True,False
6,53,0.573,0.427,10,False,False
-7,1,0.7,0.3,0,True,False
7,57,0.621,0.379,0,True,False
-9,1,0.7,0.3,0,True,False
8,1,0.647,0.353,0,True,False
-11,1,0.7,0.3,0,True,False
9,31,0.569,0.431,5,False,False
-12,1,0.7,0.3,0,True,False
10,24,0.573,0.427,3,False,False
