frame,track_id,mu_CV,mu_CA,dominant,nu_CV_norm,nu_CA_norm,L_CV,L_CA,ax,ay,P_trace
2,1,0.6436,0.3564,CV,25.0117,25.0117,-11.788032842066754,-11.781879857634207,5.63395,1.93164,189.8646
2,2,0.6441,0.3559,CV,15.3257,15.3257,-9.622588926836539,-9.618695948639736,3.50432,-0.25031,86.0002
2,3,0.6461,0.3539,CV,8.8249,8.8249,-8.442065215179456,-8.446931717197268,-2.0203,0.61619,135.0663
2,4,0.6462,0.3538,CV,10.9196,10.9196,-9.358543511192309,-9.363868624408886,-1.43466,1.8531,268.7995
2,5,0.6463,0.3537,CV,17.424,17.424,-11.790437969126517,-11.796207393299238,-3.67099,0.4489,907.3261
3,1,0.5705,0.4295,CV,24.6093,24.4545,-19.507093270467315,-19.27904376660776,21.34786,10.23273,286.5416
3,2,0.5491,0.4509,CV,16.7327,16.6443,-12.470520614812047,-12.15495732115177,18.60721,1.57807,133.6954
3,3,0.6097,0.3903,CV,14.3387,14.2841,-9.713575168989383,-9.644020551465308,-12.94434,3.43129,193.385
3,4,0.63,0.37,CV,12.2153,12.1481,-9.061090951532218,-9.077326037259622,-5.73378,8.30687,380.4347
3,5,0.6364,0.3636,CV,18.8293,18.9322,-10.942855698540797,-10.986509060005636,9.82795,-5.37977,1247.4859
4,2,0.2593,0.7407,CA,21.7902,21.0015,-16.11580008412873,-14.693262097398424,40.18257,3.02397,226.9046
4,3,0.5461,0.4539,CV,13.7393,13.2316,-9.967307374359418,-9.690612463828261,-19.98008,5.70926,249.5503
4,4,0.6264,0.3736,CV,10.4222,10.1255,-8.728101260613165,-8.75323873324061,-8.44666,10.52826,461.2816
4,5,0.3817,0.6183,CA,68.479,67.9553,-22.324044673173027,-21.34035088692035,45.3313,-31.38935,1734.6171
5,2,0.1521,0.8479,CA,24.9396,23.2854,-17.18523990142417,-15.503850972724196,78.25347,3.06669,307.277
5,3,0.5285,0.4715,CV,9.6481,8.581,-10.924381478122276,-10.669668503839455,-23.55355,7.05301,283.8213
5,4,0.6324,0.3676,CV,5.1322,4.4985,-8.2421617272718,-8.29818126733904,-7.40991,8.28812,490.801
5,5,0.5595,0.4405,CV,5.6704,4.3162,-10.371792606630915,-10.476238040656963,40.31829,-24.79394,1889.559
6,2,0.2185,0.7815,CA,16.2162,14.0477,-12.162238247335484,-11.075668865688492,106.66317,1.30226,337.6542
6,4,0.6175,0.3825,CV,11.2804,10.8541,-9.106202940094956,-9.089966716062733,-8.37534,6.75876,475.9445
6,5,0.657,0.343,CV,15.803,18.1822,-10.458215086155384,-10.72027515842313,14.42535,-5.48471,1649.2453
6,1,0.5,0.5,CA,88.1032,87.3821,-48.160318023142395,-45.53388917624182,55.87495,22.8662,460.9683
6,3,0.5782,0.4218,CV,4.6909,3.5456,-15.240488332376755,-15.212565311362201,-19.76653,6.93913,279.7939
7,2,0.5668,0.4332,CV,4.4218,6.4297,-7.320988827336684,-7.683919063905632,77.04291,-1.50423,316.7934
7,5,0.6539,0.3461,CV,3.4376,3.9864,-11.603564481589679,-11.707770711178,5.36323,-2.77389,1340.4536
7,4,0.5903,0.4097,CV,34.8989,35.0326,-15.143160356420278,-15.035291177811205,-2.23676,9.12962,485.2079
