track_id,n_frames,mean_mu_CV,mean_mu_CA,mu_flips,cv_dominant,needs_CT
1,120,0.618,0.382,2,True,False
2,7,0.631,0.369,0,True,False
3,25,0.572,0.428,2,False,False
4,28,0.451,0.549,11,False,True
-2,1,0.7,0.3,0,True,False
5,22,0.547,0.453,1,False,False
-3,1,0.7,0.3,0,True,False
6,19,0.532,0.468,3,False,False
-4,1,0.7,0.3,0,True,False
7,79,0.605,0.395,4,True,False
-6,1,0.7,0.3,0,True,False
-7,1,0.7,0.3,0,True,False
8,5,0.589,0.411,2,False,True
9,71,0.46,0.54,15,False,False
-9,1,0.7,0.3,0,True,False
10,18,0.603,0.397,2,True,False
-10,1,0.7,0.3,0,True,False
11,10,0.631,0.369,0,True,False
