frame,track_id,mu_CV,mu_CA,dominant,nu_CV_norm,nu_CA_norm,L_CV,L_CA,ax,ay,P_trace
8,61,0.7,0.3,CV,21.9362,21.9362,-14.716336320762265,-14.716336320762265,0.0,0.0,374.8146
9,61,0.6452,0.3548,CV,21.0196,21.0196,-11.13589043542508,-11.136869933083442,-1.93392,4.64346,528.6803
10,61,0.5003,0.4997,CV,79.5611,79.5037,-24.51379700693282,-24.000497434952727,22.60213,-32.12779,949.0794
11,61,0.427,0.573,CA,51.6811,49.1866,-15.856705880570864,-15.259860897027155,35.45437,-54.37763,1520.3534
12,61,0.0187,0.9813,CA,157.7085,157.0304,-70.65855481109378,-66.50211652071847,109.36468,-110.25567,2247.9799
13,61,0.4276,0.5724,CA,25.9306,26.6109,-13.558176320311949,-13.644909427181164,115.80228,-116.57541,2040.8239
14,61,0.6213,0.3787,CV,29.6033,31.7897,-12.932682836506704,-13.228245387928101,60.29384,-61.06912,1804.2426
15,61,0.6491,0.3509,CV,34.6408,36.9353,-13.734913800444088,-13.87128365784512,-10.70582,10.59753,1592.3086
16,61,0.6123,0.3877,CV,27.1098,26.9911,-14.61685291099181,-14.55378377830728,-23.83105,26.40906,1355.9917
17,61,0.6038,0.3962,CV,43.6338,43.8864,-21.65999353228387,-21.615988941766737,-8.70139,12.27372,1124.044
18,61,0.4621,0.5379,CA,46.6093,46.0463,-62.9893849249362,-62.384613670849575,-5.92874,8.96772,878.9295
19,61,0.416,0.584,CA,30.248,30.029,-20.3814965837533,-19.794048528781204,-29.58341,25.43633,671.7543
26,62,0.7,0.3,CV,4.8023,4.8023,-6.167387601146212,-6.167387601146212,0.0,0.0,20.253
27,62,0.642,0.358,CV,7.5381,7.5381,-7.818911837997296,-7.805715733218664,3.13787,0.15923,27.4496
28,62,0.6189,0.3811,CV,4.7712,4.69,-6.240314290834815,-6.215540781977301,4.85786,1.33085,41.2492
45,64,0.7,0.3,CV,28.7746,28.7746,-49.2814238834693,-49.2814238834693,0.0,0.0,47.5754
46,64,0.618,0.382,CV,49.6571,49.6571,-151.95210959921337,-151.83622625332376,7.12864,3.04625,72.999
47,64,0.4335,0.5665,CA,61.5748,61.2889,-225.35168429112332,-224.6100515457086,18.17959,6.63081,141.2019
48,64,0.3118,0.6882,CA,54.846,53.7434,-300.8966810739895,-299.8972529137461,30.13257,11.39449,262.4688
49,64,0.3092,0.6908,CA,53.7396,52.0234,-235.91106168347213,-235.07063753028365,43.09927,17.77939,438.9557
50,64,0.3615,0.6385,CA,43.464,41.0997,-234.76943281607913,-234.1675449966283,55.46288,23.25676,656.5769
51,64,0.3744,0.6256,CA,45.5383,42.5684,-279.4399484592865,-278.8203882038286,71.4318,28.9442,946.6086
52,64,0.4386,0.5614,CA,35.8035,32.6174,-286.4937261737957,-286.1225667731864,80.08936,30.56206,1287.8149
53,64,0.5376,0.4624,CV,29.1438,27.9856,-269.78744961646834,-269.7231731784526,68.08411,23.75206,1564.5984
54,64,0.6014,0.3986,CV,26.5719,26.8493,-252.34575255057928,-252.40075721385955,43.10901,12.72659,1674.6049
55,64,0.565,0.435,CV,35.7857,33.8849,-260.6976994436652,-260.5099337142908,47.9307,16.71263,1754.5681
56,64,0.6047,0.3953,CV,41.2332,41.3689,-204.21407501454053,-204.2431486531388,29.92498,11.30791,1748.9403
57,64,0.5824,0.4176,CV,96.0155,96.335,-104.77958289225272,-104.65795231060561,3.79053,3.91228,1548.3614
58,64,0.5818,0.4182,CV,38.888,38.383,-107.46380549937577,-107.37233376499931,8.1688,2.71096,1400.282
