frame,track_id,mu_CV,mu_CA,dominant,nu_CV_norm,nu_CA_norm,L_CV,L_CA,ax,ay,P_trace
11,65,0.7,0.3,CV,25.1863,25.1863,-11.794963020638054,-11.794963020638054,0.0,0.0,768.2078
12,65,0.6462,0.3538,CV,24.8238,24.8238,-14.901501470121051,-14.906820356184971,10.14007,-4.00523,1029.7781
13,65,0.6205,0.3795,CV,31.4496,31.1514,-20.29405544543793,-20.2699854890543,29.56931,-10.72261,1527.1761
14,65,0.5896,0.4104,CV,33.8202,32.523,-26.800237509352122,-26.685004215121367,43.05723,-12.77128,1973.4498
15,65,0.5666,0.4334,CV,32.8137,30.529,-35.94191997334905,-35.77777745762606,49.82023,-14.51734,2287.352
16,65,0.5645,0.4355,CV,29.5131,27.0297,-54.659239334578515,-54.52048573186471,50.26265,-16.23453,2427.1206
17,65,0.6009,0.3991,CV,18.1681,17.2098,-44.27333560798277,-44.2869992967599,34.88671,-14.44719,2457.9024
18,65,0.5876,0.4124,CV,30.1215,28.3572,-58.94973886044028,-58.855263042492965,35.02283,-12.1131,2400.4366
19,65,0.5399,0.4601,CV,58.4255,56.8352,-54.86010177732394,-54.59080542600054,43.7786,-14.12684,2303.5971
20,65,0.5642,0.4358,CV,27.7439,25.8387,-52.74679100990049,-52.6453489295786,38.95228,-12.10404,2223.2285
21,65,0.5613,0.4387,CV,35.6462,33.9438,-48.69421692547674,-48.545854571025146,38.36994,-12.47239,2112.4859
22,65,0.5663,0.4337,CV,32.1121,30.5626,-41.57240711630632,-41.448316769754264,36.09902,-11.39656,1984.6348
23,65,0.598,0.402,CV,10.7329,9.6539,-39.103741183089326,-39.10280448442324,25.5162,-8.44634,1854.5788
24,65,0.6189,0.3811,CV,11.96,12.3922,-39.36223068833894,-39.40266846552718,13.55125,-4.08956,1692.5849
24,66,0.7,0.3,CV,50.6898,50.6898,-17.29091618831957,-17.29091618831957,0.0,0.0,538.1598
25,65,0.6208,0.3792,CV,8.1544,7.8864,-30.622393307368306,-30.640179722665007,8.802,-2.21251,1532.4864
25,66,0.6371,0.3629,CV,52.7639,52.7639,-47.40778704238049,-47.37343532759307,19.55806,-8.70941,704.0367
