frame,track_id,mu_CV,mu_CA,dominant,nu_CV_norm,nu_CA_norm,L_CV,L_CA,ax,ay,P_trace
2,1,0.6466,0.3534,CV,0.0233,0.0233,-5.230034543219141,-5.237243329436433,0.0,0.0,21.57
3,1,0.6405,0.3595,CV,1.1693,1.1693,-4.2820609414194974,-4.343058283621523,0.56453,0.56454,30.1387
3,-1,0.7,0.3,CV,17.1035,17.1035,-10.63920374751697,-10.63920374751697,0.0,0.0,174.3759
4,1,0.6476,0.3524,CV,1.0057,1.0003,-4.220802970917541,-4.322058107713309,1.06134,0.18761,35.5846
4,2,0.6455,0.3545,CV,13.8596,13.8596,-13.885043223657881,-13.887399661086537,-4.91514,-3.56761,234.3886
5,1,0.6484,0.3516,CV,0.6841,0.65,-4.3045628077616485,-4.398732528467857,0.90938,-0.16522,36.8452
5,2,0.61,0.39,CV,18.2186,18.0917,-32.80400424131649,-32.736382181921236,-16.55199,-5.20957,343.2568
6,1,0.6427,0.3573,CV,0.8592,0.8435,-4.29346015440618,-4.361533084381194,0.64194,-0.28697,35.8221
6,2,0.5765,0.4235,CV,14.3932,13.6486,-52.43508085332778,-52.28130398620402,-22.2529,-5.41468,435.1237
7,1,0.6352,0.3648,CV,0.7439,0.7066,-4.674585274422639,-4.718527436306346,0.52183,-0.28024,33.68
7,2,0.5468,0.4532,CV,16.2711,15.4004,-44.48916165535162,-44.26403906676643,-27.84125,-8.54215,500.0765
8,1,0.6303,0.3697,CV,0.7003,0.7119,-4.826766144463458,-4.860743187411046,0.27936,-0.16568,31.0915
8,2,0.466,0.534,CA,20.4817,19.0619,-49.68464658043668,-49.178948855648464,-36.77488,-11.8144,525.7783
9,1,0.6247,0.3753,CV,2.0218,2.0205,-4.692496026750158,-4.71015264130589,0.16811,-0.21789,29.3077
9,2,0.539,0.461,CV,9.9093,8.7892,-40.55778628724126,-40.46038911697214,-32.83386,-12.47278,526.3536
10,1,0.6223,0.3777,CV,1.2534,1.2515,-5.072165382982491,-5.087511557509485,0.14166,-0.21078,27.1936
10,2,0.5622,0.4378,CV,13.8357,13.1058,-31.545295529128655,-31.437120527379886,-28.02101,-11.25224,504.6247
11,1,0.6204,0.3796,CV,1.8374,1.8381,-5.270628192604404,-5.281571315296884,0.18282,-0.03989,25.8037
11,2,0.4816,0.5184,CA,23.4281,22.2087,-18.88512713037575,-18.41924564539262,-36.05749,-14.45196,493.1059
12,1,0.6197,0.3803,CV,1.2334,1.2359,-6.079051181639863,-6.089861721088741,0.13494,-0.03316,24.2354
12,2,0.531,0.469,CV,12.2296,11.0144,-29.983990541415082,-29.832255085260286,-33.54521,-13.97662,473.9229
13,1,0.6191,0.3809,CV,1.2067,1.2069,-6.210312359425153,-6.219858870337621,0.05685,-0.03276,22.8294
13,2,0.6326,0.3674,CV,20.8643,21.8983,-39.19655250373364,-39.3930610991068,-3.04033,-3.94025,426.5746
13,-3,0.7,0.3,CV,0.6757,0.6757,-4.599542716636926,-4.599542716636926,0.0,0.0,11.4919
14,1,0.6189,0.3811,CV,1.7933,1.7978,-5.813076554939178,-5.822195507212394,0.06904,0.01402,22.2169
14,2,0.6302,0.3698,CV,6.016,5.9248,-40.75147694601871,-40.78905865119745,-2.47723,-3.49362,367.3597
15,1,0.6187,0.3813,CV,0.7902,0.791,-5.481001974550261,-5.48980096763756,0.00292,0.00991,21.5982
15,2,0.6115,0.3885,CV,15.1604,15.1215,-28.530968202086463,-28.492765817568703,-7.75182,-3.52144,320.005
16,1,0.6185,0.3815,CV,1.576,1.5792,-5.232790962371831,-5.241300923764947,-0.01597,-0.0479,20.6844
16,2,0.6277,0.3723,CV,10.8522,11.106,-15.40045394585438,-15.458408131861294,-2.10778,-0.62194,272.6655
17,1,0.6184,0.3816,CV,0.7968,0.7936,-4.665657467764972,-4.673916534981533,-0.04191,-0.05465,20.0362
17,2,0.5884,0.4116,CV,21.1756,21.0954,-56.81699655495396,-56.686209132615375,-6.59491,-1.07453,235.7986
18,1,0.6184,0.3816,CV,1.0617,1.0573,-4.852897746781434,-4.860933273844834,-0.06194,-0.04837,19.3988
18,2,0.5853,0.4147,CV,17.7235,17.5725,-34.596309536282114,-34.51046385014807,-6.2021,-0.03308,215.3376
19,1,0.6184,0.3816,CV,1.0052,0.9993,-5.304676559617502,-5.312851282800915,-0.04952,-0.04016,18.7554
19,2,0.6103,0.3897,CV,8.394,8.4794,-21.676276910476993,-21.699134939257064,-3.05181,0.87418,194.8258
19,-4,0.7,0.3,CV,17.1296,17.1296,-11.078554633560698,-11.078554633560698,0.0,0.0,691.8661
20,1,0.6188,0.3812,CV,0.6127,0.6164,-4.693106097308686,-4.703037134051148,-0.05708,-0.00833,18.4114
20,2,0.6155,0.3845,CV,12.3036,12.37,-14.385912271144683,-14.393886556064267,-0.13301,1.52615,175.8333
20,4,0.4951,0.5049,CA,132.7683,132.7683,-87.38190870934756,-86.76509545865389,-55.44686,-42.72387,947.6724
21,1,0.6187,0.3813,CV,0.7487,0.7452,-4.924933387474219,-4.934016561141261,-0.06542,-0.02957,17.9399
21,2,0.6067,0.3933,CV,14.4016,14.3598,-9.545512273995977,-9.50868601834178,1.73734,1.63688,162.95
21,4,0.2198,0.7802,CA,32.375,29.7198,-55.381859968236796,-53.819512736500954,-131.59325,-71.92029,1962.469
22,1,0.6188,0.3812,CV,0.2541,0.2505,-4.705228902711813,-4.714781975441449,-0.0453,-0.03049,17.5431
22,2,0.5908,0.4092,CV,19.3489,19.2327,-15.62203482196148,-15.532225597579863,2.99831,1.49818,156.1563
22,4,0.3083,0.6917,CA,21.7529,16.0028,-43.78988540844357,-43.07426854444667,-190.60754,-78.19061,1926.2696
23,1,0.6188,0.3812,CV,0.646,0.6465,-4.613068110117064,-4.62257001208728,-0.04845,0.02146,17.2197
23,2,0.5927,0.4073,CV,12.6859,12.5133,-15.814812748469928,-15.75600276052596,3.08038,1.43326,146.1753
23,4,0.7768,0.2232,CV,24.6858,31.6852,-42.96682389248025,-44.18201984120208,-5.41083,2.18094,1182.5522
24,1,0.6188,0.3812,CV,0.6117,0.6102,-4.804683484031652,-4.814059728707018,-0.03062,0.02082,16.7948
24,2,0.6151,0.3849,CV,22.3385,22.473,-18.050329034217967,-18.0825869278025,-0.29334,1.09664,139.8689
24,4,0.5413,0.4587,CV,28.6934,28.9355,-27.635067843866636,-27.084122340916288,45.72711,22.26693,831.3156
24,-5,0.7,0.3,CV,8.9393,8.9393,-11.406553072837376,-11.406553072837376,0.0,0.0,99.6505
25,1,0.6188,0.3812,CV,0.6958,0.6938,-4.63849540696189,-4.647713214367419,-0.03711,0.05728,16.4691
25,2,0.6144,0.3856,CV,8.7799,8.7511,-9.643767323991028,-9.639934507361932,0.41807,1.21963,133.1906
25,5,0.6422,0.3578,CV,13.4861,13.4861,-25.225037209886082,-25.213017984487387,-6.75712,-3.24884,134.5663
25,4,0.4878,0.5122,CA,14.4881,11.9611,-20.464780772981626,-20.054162369793296,50.89893,24.84091,713.6051
26,1,0.6187,0.3813,CV,0.6877,0.6856,-4.310733127356829,-4.319940603418132,-0.06997,0.04105,16.2067
