track_id,n_frames,mean_mu_CV,mean_mu_CA,mu_flips,cv_dominant,needs_CT
360,6,0.431,0.569,3,False,True
361,37,0.601,0.399,6,True,False
365,29,0.53,0.47,2,False,False
367,1,0.7,0.3,0,True,False
371,33,0.599,0.401,2,False,False
375,220,0.614,0.386,14,True,False
377,3,0.664,0.336,0,True,False
380,104,0.621,0.379,0,True,False
383,446,0.618,0.382,4,True,False
384,10,0.474,0.526,3,False,False
385,21,0.416,0.584,8,False,True
386,11,0.422,0.578,2,False,False
387,15,0.544,0.456,4,False,False
388,567,0.619,0.381,0,True,False
391,33,0.61,0.39,0,True,False
392,23,0.43,0.57,11,False,True
394,2,0.6,0.4,1,True,True
396,9,0.416,0.584,5,False,True
401,51,0.599,0.401,2,False,False
402,24,0.581,0.419,2,False,False
