track_id,n_frames,mean_mu_CV,mean_mu_CA,mu_flips,cv_dominant,needs_CT
61,12,0.507,0.493,3,False,False
62,3,0.654,0.346,0,True,False
64,61,0.551,0.449,4,False,False
68,37,0.579,0.421,3,False,False
69,24,0.592,0.408,4,False,False
70,46,0.551,0.449,8,False,False
71,23,0.565,0.435,2,False,False
74,13,0.595,0.405,2,False,False
78,10,0.569,0.431,3,False,False
79,2,0.65,0.35,0,True,False
80,105,0.605,0.395,2,True,False
81,24,0.534,0.466,2,False,False
82,47,0.601,0.399,0,True,False
83,44,0.598,0.402,2,False,False
84,64,0.59,0.41,4,False,False
86,28,0.581,0.419,2,False,False
87,54,0.602,0.398,2,True,False
88,59,0.598,0.402,2,False,False
90,13,0.605,0.395,0,True,False
91,55,0.608,0.392,2,True,False
92,20,0.543,0.457,2,False,False
93,53,0.613,0.387,2,True,False
94,92,0.598,0.402,7,False,False
95,6,0.624,0.376,1,True,False
96,29,0.605,0.395,0,True,False
97,53,0.607,0.393,2,True,False
100,107,0.603,0.397,8,True,False
102,57,0.601,0.399,2,True,False
104,26,0.561,0.439,2,False,False
105,23,0.587,0.413,0,False,False
106,17,0.505,0.495,8,False,True
108,29,0.6,0.4,2,True,False
109,1,0.7,0.3,0,True,False
110,61,0.601,0.399,4,True,False
112,25,0.519,0.481,4,False,False
114,64,0.618,0.382,0,True,False
115,36,0.607,0.393,0,True,False
118,96,0.611,0.389,2,True,False
119,32,0.585,0.415,4,False,False
120,67,0.606,0.394,0,True,False
122,33,0.61,0.39,0,True,False
123,36,0.605,0.395,0,True,False
124,21,0.528,0.472,2,False,False
126,45,0.605,0.395,0,True,False
127,24,0.544,0.456,3,False,False
128,52,0.581,0.419,4,False,False
131,23,0.588,0.412,0,False,False
132,43,0.605,0.395,0,True,False
133,35,0.551,0.449,8,False,False
134,31,0.534,0.466,2,False,False
135,23,0.592,0.408,2,False,False
137,209,0.617,0.383,0,True,False
138,30,0.495,0.505,6,False,False
139,30,0.611,0.389,1,True,False
140,39,0.585,0.415,4,False,False
141,39,0.588,0.412,2,False,False
142,14,0.63,0.37,0,True,False
143,52,0.593,0.407,4,False,False
144,38,0.607,0.393,4,True,False
145,39,0.584,0.416,4,False,False
146,31,0.577,0.423,2,False,False
148,29,0.582,0.418,0,False,False
152,16,0.467,0.533,7,False,True
154,48,0.509,0.491,6,False,False
155,23,0.419,0.581,5,False,False
156,31,0.603,0.397,0,True,False
158,124,0.612,0.388,2,True,False
159,29,0.606,0.394,0,True,False
