track_id,n_frames,mean_mu_CV,mean_mu_CA,mu_flips,cv_dominant,needs_CT
1,2,0.674,0.326,0,True,False
5,9,0.408,0.592,2,False,False
7,17,0.442,0.558,6,False,True
8,16,0.558,0.442,7,False,True
10,4,0.659,0.341,0,True,False
11,5,0.495,0.505,1,False,False
12,1,0.7,0.3,0,True,False
13,2,0.611,0.389,0,True,False
14,21,0.393,0.607,6,False,False
22,26,0.593,0.407,4,False,False
24,35,0.549,0.451,7,False,False
25,15,0.379,0.621,3,False,False
26,4,0.66,0.34,0,True,False
27,2,0.667,0.333,0,True,False
28,9,0.606,0.394,4,True,True
31,7,0.314,0.686,2,False,False
32,28,0.535,0.465,2,False,False
35,3,0.649,0.351,0,True,False
36,13,0.454,0.546,5,False,True
37,17,0.598,0.402,2,False,False
38,2,0.652,0.348,0,True,False
