track_id,n_frames,mean_mu_CV,mean_mu_CA,mu_flips,cv_dominant,needs_CT
61,43,0.496,0.504,6,False,False
62,8,0.617,0.383,0,True,False
63,2,0.66,0.34,0,True,False
68,6,0.564,0.436,2,False,True
69,54,0.607,0.393,10,True,False
71,270,0.598,0.402,16,False,False
73,4,0.647,0.353,0,True,False
76,19,0.611,0.389,2,True,False
79,68,0.622,0.378,0,True,False
83,6,0.656,0.344,0,True,False
86,22,0.586,0.414,8,False,True
89,133,0.61,0.39,4,True,False
90,6,0.639,0.361,0,True,False
92,24,0.615,0.385,2,True,False
93,12,0.522,0.478,3,False,False
95,2,0.664,0.336,0,True,False
98,87,0.618,0.382,2,True,False
100,57,0.608,0.392,2,True,False
101,18,0.611,0.389,4,True,False
102,67,0.618,0.382,2,True,False
