frame,track_id,mu_CV,mu_CA,dominant,nu_CV_norm,nu_CA_norm,L_CV,L_CA,ax,ay,P_trace
2,156,0.6446,0.3554,CV,41.7609,41.7609,-26.457195266174836,-26.455463929338293,-9.43209,2.31316,791.5822
3,156,0.6092,0.3908,CV,33.8455,33.6883,-25.35678860519696,-25.287182963086536,-27.10839,2.97395,1104.6808
4,156,0.4384,0.5616,CA,49.1435,47.9531,-65.68957686959409,-64.98098523774155,-70.11061,11.42466,1568.426
4,158,0.7,0.3,CV,50.0535,50.0535,-13.379480908537067,-13.379480908537067,0.0,0.0,707.2367
5,158,0.6434,0.3566,CV,42.7603,42.7603,-17.36437719950898,-17.357297402552863,13.35517,-6.04844,944.1529
6,158,0.6022,0.3978,CV,45.5513,45.1376,-25.93505156595411,-25.83828443099502,33.53313,-18.03174,1425.2313
7,158,0.5617,0.4383,CV,43.6651,42.111,-26.919531261894836,-26.717155594165504,44.88471,-22.68696,1953.608
7,156,0.5,0.5,CA,153.7825,155.6614,-34.09375418360101,-32.929881399210146,64.08419,41.09355,1874.2831
8,158,0.5349,0.4651,CV,46.0772,44.0953,-55.576981454112016,-55.32558816737364,55.62383,-28.97648,2339.345
8,156,0.5982,0.4018,CV,12.4432,13.9796,-21.58519345685633,-21.68070627767569,37.26481,28.45422,1851.5631
9,158,0.5662,0.4338,CV,21.7456,18.7598,-59.79670788754165,-59.71066184981089,52.09519,-23.67913,2559.8656
9,156,0.6432,0.3568,CV,21.6266,23.7331,-23.735487718441213,-23.88015176624871,9.89915,9.39744,1782.497
10,158,0.6171,0.3829,CV,6.4388,7.2517,-53.62263280639063,-53.70182650757515,31.01868,-15.2397,2561.6314
11,158,0.5191,0.4809,CV,79.6092,78.2716,-33.740825288230845,-33.34494769230197,51.19716,-17.38314,2605.9884
12,158,0.5146,0.4854,CV,51.5601,48.6354,-23.93265368427089,-23.661253454114068,55.84755,-19.30537,2697.0668
13,158,0.5363,0.4637,CV,60.0525,58.5467,-32.444549329740056,-32.26691999361485,54.33447,-21.82295,2640.5523
14,158,0.5464,0.4536,CV,43.3639,41.4857,-29.789824089464734,-29.621584118038538,51.84357,-21.62578,2578.4217
15,158,0.5433,0.4567,CV,42.1828,40.1937,-25.245398485265127,-25.04974310106476,52.75338,-21.13073,2471.7124
16,158,0.5621,0.4379,CV,32.467,30.8265,-25.107142152167356,-24.992083360172288,46.98698,-18.20613,2314.1932
17,158,0.6002,0.3998,CV,16.1402,15.6513,-26.39876512193257,-26.41307771502661,31.17394,-12.26358,2111.9001
18,158,0.6112,0.3888,CV,21.5889,21.2439,-26.287430567570258,-26.292371746867847,19.70318,-8.94833,1855.2614
19,158,0.6199,0.3801,CV,5.2044,4.6405,-27.71047968082585,-27.735681844907578,12.86705,-5.42262,1630.5494
20,158,0.6281,0.3719,CV,11.743,12.3486,-27.59091456744397,-27.638365037573145,3.94546,-1.83246,1445.7971
21,158,0.6243,0.3757,CV,23.1556,23.2903,-18.348431921676035,-18.367574857128005,-0.2972,0.28305,1320.935
22,158,0.6197,0.3803,CV,17.0863,16.9991,-17.760310455374842,-17.765155956031297,-1.98485,1.02598,1220.022
23,158,0.6178,0.3822,CV,13.8345,13.6963,-14.312058368974888,-14.315910257064644,-1.73992,0.89933,1150.2637
24,158,0.6178,0.3822,CV,8.5841,8.474,-15.107088122047966,-15.113696309066373,-1.77113,0.56987,1085.9715
25,158,0.617,0.383,CV,13.2729,13.1754,-15.204626560308931,-15.207953591545682,-2.08345,0.34534,1035.6342
26,158,0.6151,0.3849,CV,20.9506,20.833,-12.74119652647205,-12.737582633955647,-2.75813,0.33752,1000.4367
27,158,0.6117,0.3883,CV,30.709,30.5634,-11.668229646726843,-11.653237020647515,-3.81492,0.26393,968.147
28,158,0.6142,0.3858,CV,19.3969,19.323,-12.906960341722186,-12.907569464983618,-2.99071,-0.28196,918.1321
29,158,0.618,0.382,CV,42.7836,42.9415,-18.73242064612088,-18.744974654391523,1.17406,0.16514,912.2603
30,158,0.6165,0.3835,CV,19.7673,19.6974,-15.468773935610862,-15.469686552668612,1.97244,0.41982,902.505
31,158,0.6156,0.3844,CV,18.448,18.3357,-16.552698975052827,-16.551806094100744,2.37493,0.31686,891.6032
32,158,0.6116,0.3884,CV,39.4543,39.3461,-13.008475871292898,-12.992191522722102,2.88812,0.31431,925.6724
33,158,0.6076,0.3924,CV,47.4209,47.2247,-13.17157977898633,-13.14447427717665,3.22711,0.13042,988.9313
34,158,0.6109,0.3891,CV,24.819,24.5966,-11.392782933526208,-11.38526947141838,2.83863,-0.47682,1024.8278
35,158,0.6096,0.3904,CV,61.826,61.7923,-22.420405951935663,-22.402549278420672,3.93057,-2.1428,984.3624
