track_id,n_frames,mean_mu_CV,mean_mu_CA,mu_flips,cv_dominant,needs_CT
69,5,0.578,0.422,2,False,True
70,97,0.606,0.394,6,True,False
71,24,0.6,0.4,2,False,False
72,18,0.589,0.411,4,False,False
73,12,0.403,0.597,4,False,True
76,5,0.589,0.411,1,False,False
77,30,0.551,0.449,4,False,False
78,46,0.609,0.391,2,True,False
80,15,0.505,0.495,4,False,False
81,5,0.544,0.456,2,False,True
84,40,0.567,0.433,12,False,False
89,1,0.7,0.3,0,True,False
92,4,0.658,0.342,0,True,False
93,31,0.59,0.41,8,False,False
96,28,0.57,0.43,8,False,False
97,4,0.598,0.402,1,False,False
99,19,0.56,0.44,2,False,False
101,3,0.66,0.34,0,True,False
102,2,0.659,0.341,0,True,False
