track_id,n_frames,mean_mu_CV,mean_mu_CA,mu_flips,cv_dominant,needs_CT
70,288,0.608,0.392,12,True,False
71,324,0.619,0.381,0,True,False
72,153,0.613,0.387,3,True,False
73,340,0.619,0.381,0,True,False
74,328,0.602,0.398,15,True,False
75,7,0.563,0.437,4,False,True
77,1,0.7,0.3,0,True,False
80,8,0.631,0.369,0,True,False
84,15,0.581,0.419,5,False,True
85,162,0.606,0.394,12,True,False
88,22,0.598,0.402,2,False,False
91,96,0.578,0.422,4,False,False
92,154,0.613,0.387,0,True,False
95,33,0.607,0.393,6,True,False
96,12,0.627,0.373,1,True,False
97,339,0.608,0.392,36,True,False
101,39,0.602,0.398,0,True,False
102,393,0.616,0.384,6,True,False
103,104,0.616,0.384,0,True,False
104,19,0.537,0.463,1,False,False
105,98,0.547,0.453,16,False,False
106,652,0.615,0.385,24,True,False
107,6,0.652,0.348,0,True,False
109,8,0.631,0.369,0,True,False
110,8,0.541,0.459,3,False,True
111,267,0.579,0.421,40,False,False
112,564,0.616,0.384,2,True,False
114,226,0.604,0.396,8,True,False
120,271,0.612,0.388,12,True,False
122,133,0.605,0.395,4,True,False
125,46,0.545,0.455,8,False,False
128,328,0.608,0.392,36,True,False
129,25,0.618,0.382,2,True,False
131,61,0.613,0.387,0,True,False
133,207,0.617,0.383,0,True,False
134,176,0.581,0.419,18,False,False
137,125,0.584,0.416,8,False,False
141,54,0.613,0.387,0,True,False
147,2,0.649,0.351,0,True,False
148,4,0.438,0.562,1,False,False
151,9,0.51,0.49,4,False,True
154,430,0.612,0.388,20,True,False
155,306,0.618,0.382,0,True,False
157,18,0.615,0.385,0,True,False
160,5,0.648,0.352,0,True,False
161,390,0.616,0.384,6,True,False
162,3,0.663,0.337,0,True,False
164,29,0.602,0.398,3,True,False
166,67,0.604,0.396,5,True,False
169,42,0.62,0.38,2,True,False
170,10,0.643,0.357,0,True,False
171,77,0.603,0.397,2,True,False
172,61,0.603,0.397,3,True,False
174,130,0.62,0.38,0,True,False
176,16,0.624,0.376,2,True,False
177,89,0.608,0.392,7,True,False
180,67,0.616,0.384,0,True,False
182,73,0.612,0.388,0,True,False
185,29,0.615,0.385,2,True,False
187,5,0.657,0.343,0,True,False
188,71,0.622,0.378,0,True,False
191,61,0.552,0.448,10,False,False
194,22,0.621,0.379,0,True,False
