frame,track_id,mu_CV,mu_CA,dominant,nu_CV_norm,nu_CA_norm,L_CV,L_CA,ax,ay,P_trace
2,1,0.6466,0.3534,CV,1.3915,1.3915,-7.798772708338204,-7.805962411288243,1e-05,-0.08143,120.3935
3,1,0.6421,0.3579,CV,0.8288,0.8336,-6.760359218103565,-6.82844049519016,0.58875,-0.08755,167.5449
4,1,0.6501,0.3499,CV,1.0645,1.0512,-6.672685597975825,-6.782651539666204,1.0962,0.24696,196.8006
5,1,0.65,0.35,CV,1.7367,1.6824,-6.750501267421765,-6.847813080355137,1.60776,0.19263,202.0007
6,1,0.6423,0.3577,CV,2.6729,2.589,-6.810700621308306,-6.874634879696904,2.02778,0.40541,194.017
7,1,0.6364,0.3636,CV,0.777,0.7158,-6.713871929113912,-6.763682125672914,1.20819,0.35846,180.2132
8,1,0.6312,0.3688,CV,1.1193,1.1821,-6.7071087949047135,-6.743302154616948,0.5071,0.19971,166.1656
9,1,0.6263,0.3737,CV,1.3664,1.3559,-6.771235846187275,-6.7942199788024675,0.41439,0.09283,153.4859
10,1,0.6234,0.3766,CV,1.1722,1.1887,-6.7286056414259665,-6.7464997502173985,0.16819,0.0687,141.4617
11,1,0.6211,0.3789,CV,2.3966,2.3933,-6.918979117189616,-6.931451614453572,0.2085,0.11945,132.7838
12,1,0.62,0.38,CV,1.3906,1.3837,-6.724416111252257,-6.73528194369046,0.20979,0.10333,124.5198
13,1,0.6194,0.3806,CV,2.0881,2.0986,-6.804608873824582,-6.814911343273224,-0.02507,0.07646,117.7888
14,1,0.619,0.381,CV,1.4013,1.3985,-6.742150788871849,-6.75130126156982,-0.10604,0.07793,112.3335
15,1,0.6187,0.3813,CV,1.4601,1.4611,-6.943939559601584,-6.95279588310372,-0.03828,0.05931,108.5162
16,1,0.6186,0.3814,CV,0.4783,0.4781,-6.782358630247675,-6.791170970023663,-0.05004,0.04107,104.8012
17,1,0.6186,0.3814,CV,0.9454,0.9466,-6.861644853659235,-6.870303941636103,0.01468,0.00539,102.0583
18,1,0.6185,0.3815,CV,1.6799,1.6804,-6.867852015504126,-6.8763495266954315,-0.10005,-0.00157,99.7578
19,1,0.6185,0.3815,CV,1.5717,1.5714,-6.7112499261413,-6.719904170025085,-0.10745,-0.02282,97.1252
20,1,0.6184,0.3816,CV,2.6252,2.6251,-7.037847915717923,-7.046037983311981,-0.1537,-0.01765,96.4533
21,1,0.6185,0.3815,CV,1.1067,1.1089,-7.86887944669906,-7.8776719393290495,-0.03813,-0.00845,95.6594
22,1,0.6185,0.3815,CV,0.6799,0.6791,-7.791504509283609,-7.800221352554418,-0.00814,-0.04463,94.7307
23,1,0.6185,0.3815,CV,2.6212,2.6223,-7.607099295113111,-7.615539112162453,-0.13924,-0.08035,93.3274
24,1,0.6185,0.3815,CV,1.6301,1.6229,-7.1756497337699745,-7.184275365979602,-0.15301,-0.05884,92.0777
25,1,0.6186,0.3814,CV,1.3031,1.2939,-7.2552045229548785,-7.264203878192113,-0.13539,-0.02994,90.9445
