frame,track_id,mu_CV,mu_CA,dominant,nu_CV_norm,nu_CA_norm,L_CV,L_CA,ax,ay,P_trace
2,61,0.6466,0.3534,CV,1.6806,1.6806,-6.244371311281975,-6.251219212566978,-0.36225,0.0,27.6246
2,62,0.6461,0.3539,CV,7.0059,7.0059,-8.100690703786782,-8.105681710458223,-0.34624,-0.25968,98.927
3,61,0.6415,0.3585,CV,1.0142,1.0152,-4.920152108566891,-4.985565711767802,-0.38774,0.65214,38.5918
3,62,0.6359,0.3641,CV,4.965,4.9568,-7.122898491918593,-7.16456808049238,-3.64133,-1.10512,136.7925
4,61,0.6477,0.3523,CV,1.2062,1.196,-4.628782351510834,-4.729160816188385,0.40462,0.54395,45.883
4,62,0.6093,0.3907,CV,10.506,10.3526,-8.395632962299,-8.339760700089098,-9.25513,-2.30895,171.941
5,61,0.6463,0.3537,CV,1.6094,1.595,-5.204240702948448,-5.2890304298565844,-0.57583,0.30409,48.0449
5,62,0.6321,0.3679,CV,6.7496,6.9034,-7.912388605853076,-7.992466789946281,-2.83713,-2.67682,190.9223
6,61,0.643,0.357,CV,0.7754,0.8072,-4.8967898036081845,-4.96910414631381,-0.45521,0.2949,46.5905
6,62,0.5739,0.4261,CV,24.5205,24.8212,-16.171125713683516,-15.97424121294785,3.3793,3.62597,181.7862
7,61,0.6355,0.3645,CV,0.8571,0.8367,-5.519035119180323,-5.563701912994008,-0.2471,0.37011,44.1088
7,62,0.5892,0.4108,CV,5.3391,4.9258,-9.966490615191038,-9.917899161443568,2.29073,4.23527,170.3887
7,63,0.7,0.3,CV,4.0389,4.0389,-5.572017161851378,-5.572017161851378,0.0,0.0,5.3043
8,61,0.6242,0.3758,CV,3.8928,3.8754,-6.462767727255317,-6.470380759764001,0.14317,0.55663,42.2586
8,62,0.6321,0.3679,CV,8.5715,8.9093,-7.7328591605747725,-7.842818258810732,-1.31036,1.55625,154.4725
8,63,0.62,0.38,CV,12.0534,12.0534,-23.951713669807468,-23.844291899666302,-1.42687,2.00407,8.0656
9,61,0.6037,0.3963,CV,9.16,9.135,-9.09378156421451,-9.031783903538127,0.15872,1.46695,39.4691
9,62,0.6213,0.3787,CV,6.7222,6.6538,-7.323371258182629,-7.3234656651809855,-1.09316,2.18618,136.2939
10,61,0.5636,0.4364,CV,14.0125,13.9347,-15.140786578488678,-14.943630422691948,-0.32186,2.2667,38.6204
11,61,0.5137,0.4863,CV,19.1864,19.0577,-22.812684776678353,-22.473393592655434,0.0698,3.30402,39.3391
12,61,0.4167,0.5833,CA,27.2005,27.0187,-34.88026312457524,-34.22183017410785,-0.32849,5.51917,39.9435
13,61,0.305,0.695,CA,28.1039,27.827,-39.12175952729631,-38.11411638586158,-0.6299,9.65688,42.4174
14,61,0.2025,0.7975,CA,28.1017,27.7031,-40.71372953369569,-39.31610531314716,-0.37352,17.83383,48.5832
15,61,0.1342,0.8658,CA,26.6614,26.1075,-39.17476958448341,-37.42706519323054,0.7681,32.26043,58.3943
16,61,0.1657,0.8343,CA,16.4455,15.5693,-16.97342581967917,-15.570118458810803,0.92406,47.51268,74.06
17,61,0.4482,0.5518,CA,3.9675,3.7459,-5.860674512095302,-5.821165997017918,-0.0832,43.93936,87.2297
18,61,0.6612,0.3388,CV,15.8701,17.2161,-15.017595408522178,-15.457797035068346,-0.79477,-18.55985,91.1027
19,61,0.0054,0.9946,CA,29.7659,29.2804,-42.04014129235146,-36.293952393121536,-1.46674,-72.41557,111.5795
20,61,0.006,0.994,CA,31.6977,30.2087,-37.182796915844385,-32.477486301499454,-1.86291,-134.48226,109.9597
21,61,0.0116,0.9884,CA,20.7086,18.1087,-20.49588336648473,-16.450856662950418,-3.93609,-168.46684,112.7852
22,61,0.2078,0.7922,CA,7.1746,4.4919,-7.097349051863523,-6.147759786157432,-3.90088,-173.51621,116.6392
23,61,0.2082,0.7918,CA,12.0164,8.9024,-11.107486515384586,-9.881009312004378,-3.40855,-187.9263,240.8353
24,61,0.778,0.222,CV,11.898,16.4706,-9.463643021678106,-10.826092381065216,1.28064,-48.87174,204.0641
25,61,0.5637,0.4363,CV,11.4122,10.7581,-11.952916812766869,-11.490562682743871,-0.38221,-46.97274,147.5771
26,61,0.0013,0.9987,CA,37.7123,39.1741,-55.00120007919197,-47.99242516546027,-2.00988,136.93387,167.7372
27,61,0.0012,0.9988,CA,30.2679,27.8835,-42.07348613151807,-35.73794364534799,1.6058,227.49867,135.6286
28,61,0.9451,0.0549,CV,18.1831,21.2248,-21.482548494352294,-24.732656643632172,5.59426,178.99717,88.1918
29,61,0.7801,0.2199,CV,3.5682,4.5346,-5.553083260379183,-5.820469825270309,-0.39406,-13.28639,104.5885
30,61,0.7096,0.2904,CV,5.9205,5.9931,-6.934821568417173,-7.1062791284031945,-0.06829,0.13879,88.6187
31,61,0.6323,0.3677,CV,15.4474,15.4482,-14.285223933266767,-14.215547946288632,-0.2637,-9.48339,82.8313
32,61,0.6272,0.3728,CV,5.6609,5.5802,-6.985432788455389,-7.0106261022509795,-0.16574,-6.13273,78.2101
32,68,0.7,0.3,CV,2.7043,2.7043,-5.359988804887171,-5.359988804887171,0.0,0.0,15.5174
33,61,0.6294,0.3706,CV,4.6347,4.7032,-6.453390547545233,-6.495616189446249,-0.01266,-2.68145,74.6075
33,68,0.6388,0.3612,CV,6.803,6.803,-10.845790720193044,-10.81876694583425,3.14133,2.07973,21.2518
33,69,0.7,0.3,CV,1.5462,1.5462,-6.799943799457531,-6.799943799457531,0.0,0.0,50.8927
34,61,0.6248,0.3752,CV,13.2728,13.2923,-13.767096823025193,-13.786435536541347,0.43305,-0.55321,69.5084
34,68,0.5831,0.4169,CV,6.2267,6.1377,-11.617414175751783,-11.448293317598853,6.4881,3.82717,33.6683
34,69,0.6485,0.3515,CV,1.9391,1.9391,-5.9423017944744085,-5.957605880530577,-0.03886,0.40662,68.3849
35,61,0.6234,0.3766,CV,4.806,4.8285,-6.658996592934719,-6.6787888103883075,0.09329,0.07894,66.885
35,69,0.6353,0.3647,CV,5.2887,5.2649,-6.604743805768077,-6.640406492785977,2.34759,3.65263,97.5524
35,68,0.3698,0.6302,CA,10.3363,10.0453,-12.447206173418248,-11.491757070483803,13.32664,9.05474,51.3952
36,61,0.6197,0.3803,CV,7.4337,7.4288,-12.875198940024452,-12.881869786903,0.3905,0.25906,63.8108
36,68,0.487,0.513,CA,4.8609,4.5645,-6.597829459622952,-6.427886078749402,11.70553,10.1127,65.0452
36,69,0.6556,0.3444,CV,2.7335,2.9772,-5.93423894880897,-6.078357468986985,0.29554,0.45262,114.5555
37,61,0.6186,0.3814,CV,3.2223,3.2034,-8.71862993059175,-8.725911083301307,0.37286,0.24856,62.8244
37,68,0.6041,0.3959,CV,2.7378,2.9734,-5.790576235030645,-5.929386119796309,6.32188,5.75877,66.5617
37,69,0.651,0.349,CV,2.7727,2.7771,-6.112716109016836,-6.206114390969227,0.11128,-0.74399,117.8207
37,71,0.7,0.3,CV,1.2992,1.2992,-6.0821127875290495,-6.0821127875290495,0.0,0.0,31.5589
38,61,0.6031,0.3969,CV,23.5629,23.5764,-21.158494716859728,-21.10196104208044,-0.94294,0.82038,56.6092
38,69,0.6457,0.3543,CV,1.3611,1.4225,-6.136697419802033,-6.213863082666882,0.52626,-0.25839,112.4993
38,71,0.6481,0.3519,CV,2.1077,2.1077,-5.517999814953576,-5.531355693495879,-0.67408,0.45297,42.1227
39,71,0.6441,0.3559,CV,1.2433,1.2286,-5.2171550297558955,-5.291615345697593,-0.03909,0.51356,60.0795
39,61,0.602,0.398,CV,7.3685,7.297,-8.667438098591601,-8.629557707181535,-1.07625,0.74953,53.6953
39,69,0.6349,0.3651,CV,3.0885,3.0673,-6.190395481898262,-6.228573254694974,0.1163,-0.55394,106.5129
40,61,0.6048,0.3952,CV,22.7761,22.8411,-38.68377677980901,-38.659032097069186,1.38646,0.33811,54.1288
40,69,0.6312,0.3688,CV,2.6881,2.7546,-6.1834504918230015,-6.2217678303636,0.00505,-0.08445,97.7564
41,61,0.6003,0.3997,CV,10.429,10.3639,-17.33656975476255,-17.288876723910988,1.61884,0.04457,55.1223
41,69,0.6263,0.3737,CV,1.3276,1.3287,-5.935041323078715,-5.9581012539003035,-0.13048,-0.09848,90.0947
42,61,0.5936,0.4064,CV,29.4315,29.5166,-32.623505878017475,-32.5545488781904,-1.40164,0.4932,49.3508
42,69,0.6229,0.3771,CV,2.0688,2.0649,-6.007901712310663,-6.023668486705396,-0.15161,-0.22714,84.1842
42,71,0.5,0.5,CA,5.7743,5.7329,-7.566510931055845,-7.643799744758775,0.45327,1.19015,79.0537
43,69,0.6212,0.3788,CV,3.3401,3.3523,-6.189797260974687,-6.203264309405156,-0.07196,0.04314,77.511
43,61,0.6098,0.3902,CV,18.8905,18.9766,-35.456986929083,-35.46546691248176,1.1726,0.1192,49.5999
43,71,0.5707,0.4293,CV,3.7398,3.5825,-8.136243966958748,-8.118803955408882,0.31829,1.50847,70.5682
44,69,0.6201,0.3799,CV,1.7992,1.8019,-5.891834853087129,-5.903152851249249,-0.15649,-0.04445,72.9615
44,61,0.6158,0.3842,CV,7.0354,7.0577,-8.00425450561352,-8.014110441955921,0.6059,-0.23525,51.0832
44,71,0.6129,0.3871,CV,1.0409,0.9973,-5.7220077033749215,-5.7770039924338334,-0.15294,1.15957,61.7284
45,69,0.6195,0.3805,CV,1.2444,1.2485,-5.892709125336574,-5.903179035125285,-0.03579,-0.09538,69.1047
45,71,0.6311,0.3689,CV,3.8657,3.9846,-5.654951828744488,-5.725401537004643,-0.16645,0.22163,54.0511
46,69,0.6191,0.3809,CV,1.1162,1.1174,-5.929537102654486,-5.939017954666349,0.05524,-0.06654,65.8062
46,71,0.5766,0.4234,CV,15.9971,15.9984,-16.557015020981133,-16.37241259928897,-0.01637,-0.91665,52.7386
47,69,0.6188,0.3812,CV,1.8413,1.8434,-5.946761112619292,-5.955745700053651,-0.04319,-0.02999,62.4749
47,71,0.6092,0.3908,CV,1.6215,1.722,-5.429198598907665,-5.460012742221361,-0.13072,-0.59921,48.1166
48,69,0.6184,0.3816,CV,2.8372,2.8356,-5.997137350588429,-6.004880051062736,0.06061,0.10441,59.3232
48,71,0.6121,0.3879,CV,2.3906,2.3101,-5.355231383579068,-5.350724148345412,-0.10151,-0.4548,45.753
49,69,0.6186,0.3814,CV,2.7734,2.7807,-5.938699640257832,-5.9477161297295025,0.09071,0.10644,58.0649
49,71,0.617,0.383,CV,0.2042,0.141,-5.193192329046665,-5.204665747185308,-0.05954,-0.28027,43.79
50,71,0.6089,0.3911,CV,10.9893,10.975,-11.569523788644627,-11.539910231953288,0.58885,-0.28351,43.711
50,69,0.6182,0.3818,CV,2.2821,2.274,-5.944269161378852,-5.951463268226801,0.12048,0.18039,56.7703
51,69,0.6184,0.3816,CV,0.4263,0.4275,-5.8121974974496515,-5.820970532608174,0.06433,0.09494,55.4615
52,69,0.6179,0.3821,CV,4.5999,4.6029,-6.31291946255714,-6.319220954102238,0.02935,0.15119,52.6914
53,69,0.6184,0.3816,CV,1.2391,1.2301,-5.597297837505858,-5.606092822649303,0.00831,0.0558,50.9904
53,71,0.5,0.5,CA,4.9194,4.9523,-6.988845157225768,-7.002568748584249,-0.04488,0.01903,44.9015
54,69,0.6188,0.3812,CV,0.3135,0.312,-5.659586372285911,-5.669797717363931,-0.00399,0.01295,49.7535
54,71,0.5769,0.4231,CV,1.7035,1.7012,-5.579377874989973,-5.58699117530888,-0.09028,0.0725,42.1204
55,71,0.6038,0.3962,CV,2.4036,2.3961,-5.622141681727068,-5.6299958427376025,-0.22498,0.11373,41.6881
55,69,0.619,0.381,CV,0.6293,0.6318,-5.585287532654791,-5.595556239781074,-0.01054,0.05001,48.6145
56,69,0.619,0.381,CV,1.3232,1.3214,-5.738923173644786,-5.748642583463563,-0.01378,-0.02078,47.0491
56,71,0.6139,0.3861,CV,1.2834,1.2812,-5.455868787839936,-5.4667767124878965,-0.07841,0.10275,41.4427
57,71,0.6172,0.3828,CV,1.8451,1.838,-5.585952090851994,-5.595662637210507,0.02242,0.17369,41.1348
58,71,0.6111,0.3889,CV,8.5582,8.545,-8.138840607517846,-8.118100139561507,-0.04579,0.44568,38.6074
59,71,0.6045,0.3955,CV,6.683,6.6363,-7.70183049910011,-7.662386655649872,-0.14332,0.56524,36.1986
60,71,0.6162,0.3838,CV,14.4309,14.494,-15.266364206396275,-15.285893216705361,-0.17431,-0.09844,38.4927
62,71,0.5,0.5,CA,10.0642,10.0394,-9.16282296424313,-9.147722269947733,-0.05593,-0.27995,44.7815
63,71,0.5793,0.4207,CV,10.4536,10.4994,-9.2598478077845,-9.277501511635283,0.06254,0.07425,39.4912
64,71,0.5984,0.4016,CV,8.0205,8.0115,-8.30106094484433,-8.283081443230735,-0.0847,0.37271,37.1765
65,71,0.6123,0.3877,CV,0.7863,0.747,-5.153691701034643,-5.165715565843863,-0.0078,0.26019,36.7305
65,69,0.5,0.5,CA,3.6416,3.6415,-8.738337711969608,-8.743887453871276,-0.06491,-0.00561,43.6933
66,71,0.614,0.386,CV,3.3516,3.3175,-6.660413931657757,-6.658917988662658,0.00467,0.27423,35.1987
66,69,0.5768,0.4232,CV,2.0559,2.0574,-5.628056281873987,-5.635394517027181,-0.04537,-0.06604,40.6766
67,71,0.6203,0.3797,CV,2.8223,2.8615,-5.327058992449146,-5.3498907781878735,0.08054,-0.00983,34.6538
67,69,0.6045,0.3955,CV,1.0296,1.0234,-5.3897247044978265,-5.400636304657115,-0.017,-0.07004,40.229
68,71,0.6195,0.3805,CV,2.1189,2.1087,-5.99190154837387,-6.0019658544286125,0.064,-0.04765,32.9485
69,71,0.6199,0.3801,CV,2.2652,2.2767,-5.8857079375332315,-5.898747381915164,0.09759,-0.12671,32.1397
70,71,0.6152,0.3848,CV,7.227,7.2255,-7.430673691445335,-7.423274700204612,0.06426,-0.246,32.9464
71,71,0.6099,0.3901,CV,8.045,8.0142,-7.739068668361447,-7.716094883923293,0.07286,-0.3495,34.5154
72,71,0.617,0.383,CV,3.1219,3.1623,-5.739151174072992,-5.753956517655615,0.08654,-0.16073,33.5021
72,69,0.5,0.5,CA,3.48,3.4779,-7.330145605466765,-7.3412368347074075,0.04428,-0.01295,42.7025
73,71,0.6182,0.3818,CV,3.7678,3.7829,-6.695568960597319,-6.705088930683,0.05269,-0.0217,32.3095
73,69,0.5765,0.4235,CV,3.0622,3.0612,-5.806445706736983,-5.812544754881486,0.0677,0.19297,39.3476
74,71,0.6185,0.3815,CV,0.8858,0.8897,-5.5944343360817586,-5.603285118815083,0.01676,-0.03513,32.5778
74,69,0.6043,0.3957,CV,1.4634,1.4718,-5.428962734834681,-5.4395365026413875,0.05908,0.00743,38.912
75,71,0.6183,0.3817,CV,2.5939,2.594,-6.554439287678344,-6.562255322338779,0.09499,0.00344,32.1447
76,71,0.6181,0.3819,CV,2.1703,2.1633,-7.175595556271084,-7.1828634165024665,0.06608,0.0994,31.6262
77,71,0.6189,0.3811,CV,0.8227,0.8345,-5.911319653878994,-5.922122528735955,0.02189,0.06396,31.7639
78,71,0.619,0.381,CV,1.009,1.0141,-5.604298651801603,-5.614312455410124,-0.01204,0.01278,31.979
79,71,0.6188,0.3812,CV,1.0701,1.0693,-5.693440963587501,-5.7024427775866595,-0.03271,-0.02557,32.19
80,71,0.6178,0.3822,CV,3.2459,3.2416,-5.835224087238778,-5.840473766150402,-0.13717,-0.09521,32.8988
81,71,0.6171,0.3829,CV,3.249,3.2392,-5.761609443557895,-5.765424307783256,-0.04542,-0.14596,33.9736
82,71,0.6177,0.3823,CV,1.0796,1.0737,-5.505308937458798,-5.51261295405954,-0.06689,-0.13417,34.3749
83,71,0.618,0.382,CV,0.4506,0.4467,-5.462123369253382,-5.469904583715231,-0.01916,-0.08677,34.9135
83,69,0.5,0.5,CA,2.6433,2.6431,-8.34640015293169,-8.352410799934066,0.03772,0.00602,43.561
84,71,0.6182,0.3818,CV,0.7127,0.7116,-5.495858874966202,-5.503945238493669,-0.01381,-0.08923,35.4536
84,69,0.5766,0.4234,CV,1.7143,1.7167,-5.676109305333301,-5.6827006644567035,0.00422,-0.04713,39.2616
84,73,0.7,0.3,CV,2.374,2.374,-5.6803561327379,-5.6803561327379,0.0,0.0,14.3922
85,71,0.6184,0.3816,CV,1.4866,1.4901,-5.549609905317133,-5.5581820222229155,0.02865,-0.02984,35.715
85,73,0.6395,0.3605,CV,7.0223,7.0223,-8.611616053456157,-8.587686247365165,3.15392,0.39424,20.0129
85,69,0.6039,0.3961,CV,2.5847,2.5874,-5.6991713955554015,-5.707900206094352,0.01865,-0.05435,39.8369
86,71,0.6185,0.3815,CV,0.3388,0.3392,-5.509964381153067,-5.518889622988577,0.018,0.0034,36.3095
86,73,0.6347,0.3653,CV,2.5389,2.5388,-6.460183902389167,-6.506900761999875,1.22693,-0.45674,29.8598
86,69,0.6132,0.3868,CV,2.4355,2.4276,-5.763717209324158,-5.7716414558281475,0.01188,0.01171,40.866
87,71,0.6186,0.3814,CV,1.2596,1.2605,-5.6555550456521715,-5.664397775343773,-0.00148,-0.07829,37.0858
87,73,0.6155,0.3845,CV,4.9113,4.8829,-8.783750868453286,-8.755719469944184,4.51184,-0.18789,36.7982
87,69,0.6172,0.3828,CV,0.8929,0.9067,-5.607580209837989,-5.618625464332317,0.02967,0.0181,40.8417
88,71,0.6185,0.3815,CV,1.4452,1.4413,-5.781984366459031,-5.790258521555083,-0.01718,-0.13482,37.8968
88,69,0.6183,0.3817,CV,1.9625,1.9637,-5.655107951166899,-5.664576308273765,0.10136,-0.10048,40.8144
89,71,0.6185,0.3815,CV,0.6114,0.6071,-5.842333302693016,-5.8510153569765215,-0.02722,-0.09433,38.7358
89,69,0.6185,0.3815,CV,2.2916,2.2908,-5.653722251213461,-5.662699774383974,0.02488,-0.15613,40.3929
90,71,0.6185,0.3815,CV,0.7233,0.7213,-5.9610896042788735,-5.969699507971375,0.0152,-0.067,39.6106
90,69,0.6188,0.3812,CV,2.7464,2.7556,-5.804146778276629,-5.814049068900372,-0.05879,-0.0134,41.1125
91,71,0.6185,0.3815,CV,0.9397,0.9372,-5.780771748644642,-5.789270506318895,0.00913,-0.09727,40.2834
91,69,0.6173,0.3827,CV,5.0484,5.0436,-6.435190827545012,-6.438243925282199,-0.08923,-0.22362,42.5259
92,71,0.6185,0.3815,CV,1.64,1.6423,-5.8639891530327315,-5.872717333928386,-0.05577,-0.03303,40.613
92,69,0.618,0.382,CV,1.2814,1.2768,-5.770395170881315,-5.778583774689471,-0.02893,-0.20505,42.7439
93,71,0.6186,0.3814,CV,0.854,0.8547,-5.707649478686582,-5.7165815479454505,-0.06466,-0.03999,41.524
93,69,0.6183,0.3817,CV,0.5096,0.5125,-5.739559660359527,-5.748242201905014,-0.01169,-0.13584,42.8665
94,71,0.6185,0.3815,CV,1.3331,1.3313,-5.97329381861735,-5.981884842473388,-0.1075,0.01456,42.522
