frame,track_id,mu_CV,mu_CA,dominant,nu_CV_norm,nu_CA_norm,L_CV,L_CA,ax,ay,P_trace
7,46,0.7,0.3,CV,34.7446,34.7446,-24.73997848781812,-24.73997848781812,0.0,0.0,198.2349
8,46,0.6255,0.3745,CV,43.7613,43.7613,-31.70191903570317,-31.617775680603366,18.92105,-4.68433,272.3146
9,46,0.389,0.611,CA,49.8862,49.3417,-43.90049789768666,-42.964129681941344,56.14654,-11.70757,513.3426
10,46,0.1343,0.8657,CA,48.4163,45.9277,-50.26166217051032,-48.253699917915235,119.7033,-24.89408,960.4247
11,46,0.1835,0.8165,CA,39.1684,35.4512,-49.20015601680069,-47.92033339438066,191.40858,-39.43719,1219.3513
12,46,0.1412,0.8588,CA,36.8722,31.5934,-28.60054629115519,-26.93820159276751,274.4238,-53.23313,1391.5082
13,46,0.7213,0.2787,CV,20.7766,27.8425,-29.241207407149375,-30.39506710553049,139.12733,-25.74396,1198.9354
14,46,0.7089,0.2911,CV,23.3532,26.6946,-29.855221385302563,-30.115591528925247,-29.81636,6.79919,1002.0458
15,46,0.6656,0.3344,CV,5.4926,4.9208,-21.503632060888865,-21.58137735569249,-18.73097,4.74915,802.7742
16,46,0.6178,0.3822,CV,14.9375,14.3447,-9.932553299469488,-9.867912366308671,-23.35935,5.00484,694.3689
17,46,0.636,0.364,CV,13.0064,13.6459,-17.720835687005657,-17.80504329826084,-5.53429,1.96255,620.6814
18,46,0.6273,0.3727,CV,12.6886,12.836,-13.223743157371757,-13.243770473907343,2.97193,0.22257,558.0849
19,46,0.6168,0.3832,CV,12.8565,12.7192,-14.278489448265137,-14.266673756899856,6.03514,-0.67109,503.4675
20,46,0.6144,0.3856,CV,9.518,9.2834,-14.120857034490937,-14.114460476871303,5.4095,-0.3913,462.5233
21,46,0.6112,0.3888,CV,11.9006,11.6799,-14.339159133174507,-14.32293307491236,5.04509,-0.10985,428.3427
22,46,0.5797,0.4203,CV,34.3465,34.1101,-14.409286365947231,-14.267049992905388,7.99915,0.24427,395.8055
23,46,0.6082,0.3918,CV,20.5332,20.6557,-10.448177507774782,-10.470205410701343,4.32008,0.84026,393.0026
24,46,0.6169,0.3831,CV,25.1781,25.3408,-15.754572363263348,-15.771831689031472,0.1447,1.25652,387.0037
25,46,0.5909,0.4091,CV,58.8919,58.8652,-22.7564432572281,-22.65164983041436,4.73084,1.87244,383.8566
26,46,0.5862,0.4138,CV,32.809,32.5259,-15.496232626131526,-15.410573380404722,5.35907,2.08496,382.0882
27,46,0.587,0.413,CV,28.9962,28.6842,-14.016700626812002,-13.941364713824473,5.59385,2.13925,387.0692
28,46,0.4665,0.5335,CA,105.8195,105.5112,-52.44917117027185,-51.88684883872433,13.13656,3.48836,383.1577
29,46,0.5236,0.4764,CV,29.4092,28.7549,-13.212564326915786,-13.052619596334386,13.18947,3.83087,409.9639
30,46,0.6066,0.3934,CV,38.6274,39.1674,-14.366810170848069,-14.463654894326469,3.81415,2.92484,439.5769
31,46,0.6114,0.3886,CV,41.0053,41.1596,-17.733440217577115,-17.72957458835237,-2.66084,1.49767,456.5836
32,46,0.6001,0.3999,CV,37.3379,37.1685,-33.44895072171117,-33.39062176472447,-5.32629,0.95491,470.4726
33,46,0.5949,0.4051,CV,33.3341,33.0727,-50.44326562446568,-50.380082933112334,-6.30425,0.62301,468.9588
34,46,0.5928,0.4072,CV,29.1163,28.8127,-79.17014197572368,-79.10572287362774,-6.66884,-0.21506,466.5265
