frame,track_id,mu_CV,mu_CA,dominant,nu_CV_norm,nu_CA_norm,L_CV,L_CA,ax,ay,P_trace
2,35,0.6459,0.3541,CV,15.4213,15.4213,-13.046241898563515,-13.050259028584474,-3.49419,-0.41108,294.5827
2,36,0.6336,0.3664,CV,48.2964,48.2964,-56.313013916145465,-56.26335910411141,11.72964,-0.84708,170.363
3,35,0.6192,0.3808,CV,16.0714,15.9805,-14.024205895967574,-13.994873459024577,-13.69179,-1.20518,411.8884
3,36,0.1047,0.8953,CA,56.6663,56.3549,-156.02621850627656,-153.38289855852727,68.74633,-7.85562,381.831
4,35,0.5719,0.4281,CV,17.9004,17.4161,-32.85103127138897,-32.66494028000751,-27.65866,-3.46005,521.6926
7,38,0.7,0.3,CV,37.9032,37.9032,-15.755141781208172,-15.755141781208172,0.0,0.0,359.3792
8,38,0.6422,0.3578,CV,32.6338,32.6338,-25.13531671433406,-25.12316848797601,-10.91324,-5.20044,489.2509
9,38,0.5932,0.4068,CV,34.0772,33.7585,-39.782877276390636,-39.650109063114236,-27.54464,-16.3097,739.8753
9,39,0.7,0.3,CV,52.8506,52.8506,-24.539713971613224,-24.539713971613224,0.0,0.0,180.974
10,38,0.5235,0.4765,CV,32.5648,31.2261,-54.873929738600324,-54.530603348320234,-42.1949,-24.56984,1018.8941
10,39,0.6341,0.3659,CV,51.471,51.471,-40.409598666691416,-40.3624667502418,11.20451,1.4908,251.7049
11,38,0.3311,0.6689,CA,48.5574,46.1935,-59.829182104514786,-58.78976760240379,-74.67851,-40.4832,1366.2417
11,39,0.5509,0.4491,CV,46.1594,45.8386,-85.0517068671392,-84.75830352762407,28.55719,2.20858,389.3506
12,38,0.3953,0.6047,CA,26.1241,22.2682,-52.37575284292443,-51.88737747296236,-93.05789,-49.93093,1581.3054
12,39,0.4203,0.5797,CA,42.8155,41.5945,-144.04335078456234,-143.34621394861517,48.56555,0.46069,603.4378
13,38,0.576,0.424,CV,1.9177,5.3006,-54.342891836696865,-54.495477752827455,-64.45084,-35.36443,1536.0907
13,39,0.3809,0.6191,CA,32.3647,30.0047,-128.54531854873608,-127.87046371309894,68.98038,-0.45178,852.9544
14,38,0.6502,0.3498,CV,20.0392,21.9358,-64.5570325525251,-64.76491179359681,-14.12458,-11.17434,1316.145
14,39,0.0698,0.9302,CA,77.5356,74.548,-159.81383965672433,-157.09066264755305,159.95315,-0.76147,1204.8379
15,38,0.626,0.374,CV,24.1626,24.7079,-59.60081814165641,-59.594170846383506,16.44738,5.12765,1105.7975
15,39,0.2133,0.7867,CA,40.929,36.9365,-139.47510973826573,-138.47443124812773,217.7751,-2.15894,1327.6092
16,38,0.5802,0.4198,CV,22.0853,21.2675,-63.12509566565698,-62.96273433948045,24.32005,10.19525,941.7573
16,39,0.3536,0.6464,CA,22.668,18.7079,-151.89633123269095,-151.39474868214373,227.17163,-3.05123,1445.7282
17,38,0.5782,0.4218,CV,14.0438,12.8558,-57.80909232873091,-57.70641159729874,22.79495,10.5794,824.9788
17,39,0.6236,0.3764,CV,5.0064,11.7632,-106.00876735499494,-106.41852662084531,129.51444,-1.41678,1420.7214
18,38,0.5803,0.4197,CV,13.6432,12.6093,-48.3571160049275,-48.26559495625896,20.5941,9.93206,742.3461
18,39,0.6836,0.3164,CV,6.6087,10.2415,-106.25822187114537,-106.5462233082437,37.62875,-0.19057,1146.9889
19,38,0.5996,0.4004,CV,6.4464,5.5009,-43.16890609274532,-43.15428646125103,15.29535,7.63142,670.3085
19,39,0.6677,0.3323,CV,7.9821,8.4609,-53.923955414912484,-54.0497342656114,11.0594,0.01445,908.6984
20,38,0.608,0.392,CV,7.624,7.0793,-36.440322334269396,-36.43233926395159,11.10345,5.96955,611.0103
20,39,0.6298,0.3702,CV,18.4591,18.7539,-47.85342777226284,-47.83673679493608,-16.07716,0.30681,754.5112
21,38,0.6139,0.3861,CV,7.919,7.6532,-29.44633003468526,-29.450887560456543,7.42219,4.44749,563.0131
21,39,0.5704,0.4296,CV,21.5053,20.7593,-26.68808648636411,-26.48036908042091,-26.78909,0.42032,659.3615
22,38,0.6198,0.3802,CV,2.34,2.3671,-27.81448377457456,-27.8353833611084,4.34021,2.74195,514.6281
22,39,0.6228,0.3772,CV,12.724,13.4963,-28.557727689352177,-28.655005258782943,-10.91939,0.60711,606.7132
23,38,0.6202,0.3798,CV,2.61,2.4603,-26.806695765448534,-26.820530479531627,2.90652,1.76653,472.4065
23,39,0.6187,0.3813,CV,7.3493,6.9783,-22.913554964090252,-22.916570948994554,-8.76864,0.55803,552.7367
