track_id,n_frames,mean_mu_CV,mean_mu_CA,mu_flips,cv_dominant,needs_CT
74,661,0.615,0.385,4,True,False
75,24,0.619,0.381,0,True,False
76,57,0.535,0.465,6,False,False
77,15,0.438,0.562,3,False,False
79,6,0.65,0.35,0,True,False
82,6,0.539,0.461,2,False,True
84,13,0.418,0.582,4,False,True
86,225,0.604,0.396,14,True,False
88,85,0.598,0.402,9,False,False
89,2,0.595,0.405,1,False,True
90,17,0.403,0.597,6,False,True
92,9,0.54,0.46,3,False,True
93,1,0.7,0.3,0,True,False
94,2,0.673,0.327,0,True,False
95,15,0.572,0.428,2,False,False
98,79,0.511,0.489,9,False,False
99,6,0.613,0.387,0,True,False
100,5,0.497,0.503,2,False,True
101,115,0.583,0.417,12,False,False
102,67,0.569,0.431,6,False,False
103,62,0.616,0.384,0,True,False
105,6,0.42,0.58,1,False,False
106,90,0.61,0.39,2,True,False
110,3,0.53,0.47,1,False,True
112,44,0.553,0.447,8,False,False
115,3,0.647,0.353,0,True,False
117,69,0.538,0.462,12,False,False
118,30,0.58,0.42,2,False,False
120,86,0.61,0.39,8,True,False
121,44,0.572,0.428,3,False,False
122,5,0.6,0.4,2,False,True
124,23,0.568,0.432,4,False,False
125,52,0.508,0.492,8,False,False
126,19,0.435,0.565,4,False,False
127,119,0.555,0.445,12,False,False
128,98,0.611,0.389,8,True,False
130,21,0.489,0.511,3,False,False
131,71,0.536,0.464,8,False,False
133,45,0.582,0.418,4,False,False
134,49,0.598,0.402,4,False,False
